YEAR,MOVEMENT,PLAYER_ID,PLAYER,POINTS,WGC POINTS
2024,0,35296,Haotong Li,39,0.0
2024,0,54422,Christo Lamprecht,39,0.0
2024,0,56100,Ren Yonezawa,37,0.0
2024,0,32344,Lukas Nemecz,37,0.0
2024,0,60065,Ryan Hall,36,0.0
2024,0,48052,Max Rottluff,36,0.0
2024,0,37428,Evan Harmeling,35,0.0
2024,0,48640,Johannes Veerman,35,0.0
2024,0,36824,Paul Peterson,33,0.0
2024,0,46368,Stuart Macdonald,31,0.0
2024,0,57737,Jayden Schaper,31,0.0
2024,0,57586,Jesper Svensson,30,0.0
2024,0,64594,Angel Hidalgo Portillo,29,0.0
2024,0,35314,Andy Sullivan,29,0.0
2024,0,51661,Nick Bachem,29,0.0
2024,0,34500,Ryosuke Kinoshita,29,0.0
2024,0,48051,Yannik Paul,29,0.0
2024,0,46646,Antoine Rozner,29,0.0
2024,0,58359,Mitchell Schow,29,0.0
2024,0,50323,Minkyu Kim,29,0.0
2024,0,39834,Guido Migliozzi,29,0.0
2024,0,56781,Isaiah Salinda,27,0.0
2024,0,31113,Paul Waring,26,0.0
2024,0,1810,Phil Mickelson,25,0.0
2024,0,36852,Jim Knous,24,0.0
2024,0,50823,Tom McKibbin,23,0.0
2024,0,45194,Marcus Armitage,21,0.0
2024,0,46464,Jordan Smith,20,0.0
2024,0,57330,Matthis Besard,20,0.0
2024,0,59077,Spencer Cross,20,0.0
2024,0,58944,Blake McShea,18,0.0
2024,0,39436,Joshua Creel,18,0.0
2024,0,47917,Takumi Kanaya,18,0.0
2024,0,49590,Frankie Capan III,17,0.0
2024,0,50474,Tim Widing,17,0.0
2024,0,39058,Lucas Herbert,15,0.0
2024,0,37446,Jacques Kruyswijk,14,0.0
2024,0,55420,Cooper Musselman,14,0.0
2024,0,30756,Andrea Pavan,14,0.0
2024,0,37066,Grant Forrest,14,0.0
2024,0,51151,Todd Clements,13,0.0
2024,0,57688,Casey Jarvis,13,0.0
2024,0,46879,Naoyuki Kataoka,13,0.0
2024,0,54869,Chase Johnson,13,0.0
2024,0,27408,Martin Kaymer,12,0.0
2024,0,39524,Sean Crocker,11,0.0
2024,0,61193,David Puig,11,0.0
2024,0,23481,Marcel Siem,10,0.0
2024,0,46594,Ricardo Gouveia,10,0.0
2024,0,59827,Tom Vaillant,10,0.0
2024,0,29939,Fabrizio Zanotti,10,0.0
2024,0,45526,Abraham Ancer,9,0.0
2024,0,39859,Cristobal Del Solar,9,0.0
2024,0,49120,Kensei Hirata,9,0.0
2024,0,46443,Brian Campbell,9,0.0
2024,0,51734,Nicolo Galletti,9,0.0
2024,0,57123,Steven Fisk,9,0.0
2024,0,59652,Sam Bennett,8,0.0
2024,0,48936,Ugo Coussaud,8,0.0
2024,0,47443,Junghwan Lee,8,0.0
2024,0,46402,Talor Gooch,8,0.0
2024,0,39958,Jeunghun Wang,8,0.0
2024,0,12195,Tom Johnson,7,0.0
2024,0,27506,Oliver Wilson,7,0.0
2024,0,47125,Matt Atkins,6,0.0
2024,0,46405,Sebastian Soderberg,6,0.0
2024,0,58816,Marcus Byrd,6,0.0
2024,0,63181,Braden Shattuck,6,0.0
2024,0,56555,Myles Creighton,5,0.0
2024,0,46837,Yuxin Lin,5,0.0
2024,0,36521,Young-han Song,5,0.0
2024,0,60019,Jackson Suber,5,0.0
2024,0,32775,Shugo Imahira,5,0.0
2024,0,30852,Ryo Ishikawa,5,0.0
2024,0,34607,Francesco Laporta,5,0.0
2024,0,51635,Chris Nido,5,0.0
2024,0,46628,Jeremy Wells,5,0.0
2024,0,48001,Zach Bauchou,5,0.0
2024,0,58188,James Nicholas,5,0.0
2024,0,57944,Andy Ogletree,5,0.0
2024,0,35490,Wil Bateman,4,0.0
2024,0,20721,Darren Fichardt,4,0.0
2024,0,29675,Dan McCarthy,4,0.0
2024,0,52462,Chase Hanna,4,0.0
2024,0,55509,Hurly Long,4,0.0
2024,0,65465,Connor Jones,4,0.0
2024,0,33870,Ashun Wu,4,0.0
2024,0,52411,Kyle Westmoreland,4,0.0
2024,0,55074,Sebastian Friedrichsen,4,0.0
2024,0,46404,Marcus Kinhult,4,0.0
2024,0,55940,Andrew Wilson,4,0.0
2024,0,33459,Jens Dantorp,3,0.0
2024,0,28593,Jesse Mueller,3,0.0
2024,0,48929,Santiago Tarrio,3,0.0
2024,0,32662,Michael Gligic,3,0.0
2024,0,32627,Espen Kofstad,3,0.0
2024,0,27747,Hiroshi Iwata,3,0.0
2024,0,33404,Chris Baker,3,0.0
2024,0,28340,Julien Guerrier,3,0.0
2024,0,32686,Takahiro Hataji,3,0.0
2024,0,46270,Takashi Ogiso,3,0.0
2024,0,65423,Egor Eroshenko,3,0.0
2024,0,58989,Brandon Berry,2,0.0
2024,0,59567,Emilio Gonzalez,2,0.0
2024,0,55623,Kaito Onishi,2,0.0
2024,0,59570,Tyler Collet,2,0.0
2024,0,51690,Taylor Dickson,2,0.0
2024,0,24494,Erik Compton,2,0.0
2024,0,64052,Angel Ayora,2,0.0
2023,0,36689,Brooks Koepka,930,0.0
2023,0,52215,Robert MacIntyre,303,0.0
2023,0,35891,Cameron Smith,277,0.0
2023,0,1810,Phil Mickelson,276,0.0
2023,0,33974,Dean Burmester,219,0.0
2023,0,34360,Patrick Reed,206,0.0
2023,0,45426,Nathan Kimsey,186,0.0
2023,0,51287,Ryo Hisatsune,185,0.0
2023,0,47959,Bryson DeChambeau,176,0.0
2023,0,33674,Adrian Meronk,158,46.0
2023,0,47679,Victor Perez,153,18.0
2023,0,47987,Cole Hammer,133,0.0
2023,0,30852,Ryo Ishikawa,127,0.0
2023,0,46464,Jordan Smith,114,0.0
2023,0,59652,Sam Bennett,101,0.0
2023,0,36884,Ben Kohles,100,0.0
2023,0,33459,Jens Dantorp,93,0.0
2023,0,28340,Julien Guerrier,93,0.0
2023,0,34371,Adrien Saddier,93,0.0
2023,0,30925,Dustin Johnson,92,0.0
2023,0,39113,Shubhankar Sharma,91,0.0
2023,0,49120,Kensei Hirata,89,0.0
2023,0,55930,Fred Biondi,89,0.0
2023,0,38991,Alejandro Tosti,88,0.0
2023,0,28521,Ryutaro Nagano,79,0.0
2023,0,55955,Matthew Jordan,79,0.0
2023,0,56781,Isaiah Salinda,78,0.0
2023,0,45486,Joaquin Niemann,77,0.0
2023,0,39524,Sean Crocker,76,0.0
2023,0,49228,Keita Nakajima,71,0.0
2023,0,55721,Alex Fitzpatrick,71,0.0
2023,0,37066,Grant Forrest,70,0.0
2023,0,34656,Mikumu Horikawa,69,0.0
2023,0,59836,Pierceson Coody,66,0.0
2023,0,55573,John VanDerLaan,65,0.0
2023,0,21528,Henrik Stenson,63,0.0
2023,0,22764,Michael Block,59,0.0
2023,0,37250,Romain Langasque,58,0.0
2023,0,50992,Brett White,57,0.0
2023,0,37189,Harold Varner III,57,0.0
2023,0,46404,Marcus Kinhult,56,0.0
2023,0,63121,William Mouw,56,0.0
2023,0,50223,Ewen Ferguson,56,0.0
2023,0,45847,JC Ritchie,55,0.0
2023,0,34362,Laurie Canter,55,0.0
2023,0,57259,Daniel Brown,53,0.0
2023,0,46646,Antoine Rozner,52,0.0
2023,0,36514,Yuki Inamori,51,0.0
2023,0,46405,Sebastian Soderberg,44,0.0
2023,0,48632,Yuto Katsuragawa,43,0.0
2023,0,34579,Alexander Levy,43,0.0
2023,0,58669,Jacob Solomon,41,0.0
2023,0,32815,Masahiro Kawamura,38,0.0
2023,0,52287,David Ravetto,38,0.0
2023,0,26329,Louis Oosthuizen,36,0.0
2023,0,35174,Matthew Southgate,36,0.0
2023,0,59095,Chris Gotterup,36,0.0
2023,0,45526,Abraham Ancer,34,0.0
2023,0,21209,Sergio Garcia,33,0.0
2023,0,33968,Thorbjørn Olesen,33,0.0
2023,0,29485,Brett Stegmaier,33,0.0
2023,0,48051,Yannik Paul,32,0.0
2023,0,34310,Alexander Björk,31,0.0
2023,0,52514,Trace Crowe,31,0.0
2023,0,45194,Marcus Armitage,29,0.0
2023,0,55707,Calum Hill,29,0.0
2023,0,31242,Marcel Schneider,29,0.0
2023,0,47917,Takumi Kanaya,28,0.0
2023,0,48640,Johannes Veerman,28,0.0
2023,0,52095,Christoffer Bring,28,0.0
2023,0,31681,Louis de Jager,28,0.0
2023,0,57737,Jayden Schaper,28,0.0
2023,0,35376,Roberto Díaz,28,0.0
2023,0,31569,Jason Scrivener,27,0.0
2023,0,33293,Thomas Pieters,27,0.0
2023,0,51696,Rico Hoey,26,0.0
2023,0,35778,Kazuki Higa,24,0.0
2023,0,23481,Marcel Siem,23,0.0
2023,0,46402,Talor Gooch,23,0.0
2023,0,33486,Roger Sloan,22,0.0
2023,0,47393,Jeffrey Kang,22,0.0
2023,0,36521,Young-han Song,22,0.0
2023,0,45836,Richard Bland,22,0.0
2023,0,27506,Oliver Wilson,22,0.0
2023,0,29476,Kyle Reifers,22,0.0
2023,0,35110,Brett Drewitt,22,0.0
2023,0,29256,James Morrison,21,0.0
2023,0,51635,Chris Nido,21,0.0
2023,0,35469,Sebastián Vázquez,21,0.0
2023,0,24494,Erik Compton,20,0.0
2023,0,23814,Edoardo Molinari,19,0.0
2023,0,12195,Tom Johnson,19,0.0
2023,0,35087,Bio Kim,18,0.0
2023,0,50823,Tom McKibbin,18,0.0
2023,0,32394,Tapio Pulkkanen,18,0.0
2023,0,61193,David Puig,18,0.0
2023,0,27330,Josh Teater,17,0.0
2023,0,46550,Brandon Hagy,17,0.0
2023,0,64594,Angel Hidalgo Portillo,16,0.0
2023,0,29939,Fabrizio Zanotti,16,0.0
2023,0,47125,Matt Atkins,16,0.0
2023,0,47056,Rikuya Hoshino,15,0.0
2023,0,29531,Richie Ramsay,14,0.0
2023,0,32070,Rafael Campos,14,0.0
2023,0,55509,Hurly Long,13,0.0
2023,0,30957,Maximilian Kieffer,13,0.0
2023,0,47850,John Axelsen,12,0.0
2023,0,55165,Noah Goodwin,12,0.0
2023,0,65280,Niklas Norgaard,12,0.0
2023,0,39412,Zack Fischer,12,0.0
2023,0,60004,Jacob Bridgeman,11,0.0
2023,0,39834,Guido Migliozzi,10,0.0
2023,0,55623,Kaito Onishi,10,0.0
2023,0,32367,Jorge Campillo,10,0.0
2023,0,26331,Charl Schwartzel,9,0.0
2023,0,47888,Taiga Semikawa,9,0.0
2023,0,33490,Bo Hoag,9,0.0
2023,0,27958,Ryan Blaum,9,0.0
2023,0,28300,Joost Luiten,9,0.0
2023,0,27466,Spencer Levin,9,0.0
2023,0,34317,Joakim Lagergren,9,0.0
2023,0,32797,Sanghyun Park,9,0.0
2023,0,59871,Greg Koch,8,0.0
2023,0,35913,Michael Stewart,8,0.0
2023,0,45523,Thriston Lawrence,8,0.0
2023,0,46837,Yuxin Lin,7,0.0
2023,0,54869,Chase Johnson,7,0.0
2023,0,34575,Adrian Otaegui,6,0.0
2023,0,50762,Alejandro Del Rey,6,0.0
2023,0,59743,Aguri Iwasaki,6,0.0
2023,0,52666,Sami Valimaki,6,0.0
2023,0,35314,Andy Sullivan,6,0.0
2023,0,65374,Brandon Robinson Thompson,6,0.0
2023,0,36837,Julien Brun,6,0.0
2023,0,49813,Daniel Hillier,6,0.0
2023,0,35557,Aaron Cockerill,6,0.0
2023,0,50154,Joseph Winslow,6,0.0
2023,0,32775,Shugo Imahira,5,0.0
2023,0,33404,Chris Baker,5,0.0
2023,0,24980,Scott Gutschewski,5,0.0
2023,0,32369,Sihwan Kim,5,0.0
2023,0,46368,Stuart Macdonald,5,0.0
2023,0,48098,Sebastian Garcia Rodriguez,5,0.0
2023,0,33117,Dale Whitnell,5,0.0
2023,0,49590,Frankie Capan III,5,0.0
2023,0,47806,Raul Pereda,5,0.0
2023,0,29670,Pablo Larrazabal,4,0.0
2023,0,46879,Naoyuki Kataoka,4,0.0
2023,0,29425,Andrew Svoboda,4,0.0
2023,0,59442,Parker Coody,4,0.0
2023,0,48293,Mikael Lindberg,4,0.0
2023,0,40181,Clément Sordet,4,0.0
2023,0,49117,Isidro Benitez,4,0.0
2023,0,63455,Ross Steelman,4,0.0
2023,0,33870,Ashun Wu,4,0.0
2023,0,47154,Martin Contini,4,0.0
2023,0,57900,Chandler Phillips,4,0.0
2023,0,52462,Chase Hanna,4,0.0
2023,0,47102,David Micheluzzi,3,0.0
2023,0,60006,Ben Carr,3,0.0
2023,0,35421,Brandon Harkins,3,0.0
2023,0,52096,Adri Arnaus,3,0.0
2023,0,35490,Wil Bateman,3,0.0
2023,0,31273,Gavin Green,3,0.0
2023,0,27747,Hiroshi Iwata,3,0.0
2023,0,51363,George Bryan IV,3,0.0
2023,0,54364,Stephen Stallings Jr.,3,0.0
2023,0,51366,Riki Kawamoto,3,0.0
2023,0,63371,Chanmin Jung,3,0.0
2023,0,50584,Connor Syme,3,0.0
2023,0,56003,Yongjun Bae,3,0.0
2023,0,63459,Dan Bradbury,3,0.0
2023,0,52575,Paul O'Hara,3,0.0
2023,0,10381,Curtis Thompson,2,0.0
2023,0,52583,Sanghun Shin,2,0.0
2023,0,31016,Tomoharu Otsuki,2,0.0
2023,0,60008,Ford Clegg,2,0.0
2023,0,32776,Yeongsu Kim,2,0.0
2023,0,49022,Yoseop Seo,2,0.0
2022,0,34360,Patrick Reed,549,32.0
2022,0,30925,Dustin Johnson,496,140.0
2022,0,25396,Kevin Na,386,68.0
2022,0,21209,Sergio Garcia,297,32.0
2022,0,29974,Branden Grace,246,0.0
2022,0,25804,Bubba Watson,199,32.0
2022,0,25572,Graeme McDowell,197,0.0
2022,0,26331,Charl Schwartzel,191,0.0
2022,0,59095,Chris Gotterup,190,0.0
2022,0,33653,Thomas Detry,186,0.0
2022,0,26329,Louis Oosthuizen,175,13.0
2022,0,52686,Rasmus Hojgaard,173,0.0
2022,0,54655,Patrick Flavin,169,0.0
2022,0,37378,Min Woo Lee,163,32.0
2022,0,52215,Robert MacIntyre,151,13.0
2022,0,47917,Takumi Kanaya,141,68.0
2022,0,54591,Ben Griffin,135,0.0
2022,0,55509,Hurly Long,135,0.0
2022,0,33974,Dean Burmester,134,0.0
2022,0,33293,Thomas Pieters,125,32.0
2022,0,45836,Richard Bland,107,68.0
2022,0,20396,Lee Westwood,105,13.0
2022,0,31569,Jason Scrivener,94,0.0
2022,0,34587,Chan Kim,90,0.0
2022,0,25369,Jamie Donaldson,89,0.0
2022,0,56676,John Augenstein,86,0.0
2022,0,57975,Harry Hall,80,0.0
2022,0,48372,Marcus Helligkilde,73,0.0
2022,0,48051,Yannik Paul,70,0.0
2022,0,48018,Sadom Kaewkanjana,70,0.0
2022,0,45242,Kevin Yu,67,0.0
2022,0,35296,Haotong Li,64,0.0
2022,0,39834,Guido Migliozzi,63,0.0
2022,0,55789,Taylor Montgomery,61,0.0
2022,0,32627,Espen Kofstad,59,0.0
2022,0,46798,Anthony Quayle,56,0.0
2022,0,39537,Chris Naegel,55,0.0
2022,0,46732,Rick Lamb,55,0.0
2022,0,48867,Matti Schmid,53,0.0
2022,0,29454,Bernd Wiesberger,50,0.0
2022,0,45523,Thriston Lawrence,47,0.0
2022,0,47154,Martin Contini,45,0.0
2022,0,46464,Jordan L Smith,43,0.0
2022,0,54781,Grant Hirschman,43,0.0
2022,0,32775,Shugo Imahira,43,0.0
2022,0,27747,Hiroshi Iwata,43,0.0
2022,0,57362,Austin Eckroat,42,0.0
2022,0,46594,Ricardo Gouveia,42,0.0
2022,0,56320,Bryson Nimmer,41,0.0
2022,0,26499,Rafa Cabrera Bello,41,0.0
2022,0,52096,Adri Arnaus,40,0.0
2022,0,29256,James Morrison,37,0.0
2022,0,39524,Sean Crocker,35,0.0
2022,0,52666,Sami Valimaki,33,0.0
2022,0,33948,Byeong Hun An,32,0.0
2022,0,54364,Stephen Stallings Jr.,32,0.0
2022,0,58168,Davis Thompson,31,0.0
2022,0,48153,Matthieu Pavon,31,0.0
2022,0,58849,Turk Pettit,31,0.0
2022,0,39067,MJ Daffue,30,0.0
2022,0,39328,Conrad Shindler,29,0.0
2022,0,58594,Spencer Ralston,29,0.0
2022,0,32252,Nino Bertasio,27,0.0
2022,0,31138,Scott Jamieson,27,0.0
2022,0,27958,Ryan Blaum,27,0.0
2022,0,29275,Naoto Nakanishi,27,0.0
2022,0,35986,Todd Sinnott,26,0.0
2022,0,27330,Josh Teater,25,0.0
2022,0,47679,Victor Perez,25,0.0
2022,0,30957,Maximilian Kieffer,24,0.0
2022,0,29370,Mikko Korhonen,24,0.0
2022,0,33968,Thorbjørn Olesen,24,0.0
2022,0,50188,S.H. Kim,22,0.0
2022,0,47461,Andrew Kozan,21,0.0
2022,0,35557,Aaron Cockerill,21,0.0
2022,0,47056,Rikuya Hoshino,20,0.0
2022,0,36514,Yuki Inamori,20,0.0
2022,0,33689,Jinichiro Kozuma,20,0.0
2022,0,31016,Tomoharu Otsuki,20,0.0
2022,0,29476,Kyle Reifers,20,0.0
2022,0,45478,Julian Suri,19,0.0
2022,0,32070,Rafael Campos,19,0.0
2022,0,47989,Sam Horsfield,19,0.0
2022,0,26328,Shaun Norris,18,0.0
2022,0,33803,Lucas Bjerregaard,18,0.0
2022,0,29939,Fabrizio Zanotti,18,0.0
2022,0,46405,Sebastian Soderberg,16,0.0
2022,0,29936,Ryan Fox,16,0.0
2022,0,28521,Ryutaro Nagano,15,0.0
2022,0,36837,Julien Brun,15,0.0
2022,0,32881,Hugo León,15,0.0
2022,0,35706,Niklas Norgaard Moller,15,0.0
2022,0,50057,Robin Roussel,15,0.0
2022,0,55893,Sam Stevens,15,0.0
2022,0,33674,Adrian Meronk,14,0.0
2022,0,33870,Ashun Wu,12,0.0
2022,0,34310,Alexander Björk,12,0.0
2022,0,34575,Adrian Otaegui,12,0.0
2022,0,50584,Connor Syme,12,0.0
2022,0,34362,Laurie Canter,12,0.0
2022,0,30996,Mark Baldwin,12,0.0
2022,0,34364,David Law,11,0.0
2022,0,48933,Ryuichi Oiwa,11,0.0
2022,0,39262,Alvaro Ortiz,11,0.0
2022,0,51441,KK Limbhasut,11,0.0
2022,0,48632,Yuto Katsuragawa,10,0.0
2022,0,33461,Morgan Hoffmann,10,0.0
2022,0,34607,Francesco Laporta,9,0.0
2022,0,55412,Mickey DeMorat,9,0.0
2022,0,39327,Ben Silverman,9,0.0
2022,0,48098,Sebastian Garcia Rodriguez,9,0.0
2022,0,35376,Roberto Díaz,9,0.0
2022,0,49801,Preston Stanley,8,0.0
2022,0,27899,Rikard Karlberg,8,0.0
2022,0,32344,Lukas Nemecz,8,0.0
2022,0,27408,Martin Kaymer,8,0.0
2022,0,45194,Marcus Armitage,7,0.0
2022,0,51287,Ryo Hisatsune,7,0.0
2022,0,57944,Andy Ogletree,7,0.0
2022,0,59160,John Pak,7,0.0
2022,0,28938,Justin Harding,7,0.0
2022,0,29954,Robert Dinwiddie,6,0.0
2022,0,52453,Nicolai Hojgaard,6,0.0
2022,0,23802,Brad Kennedy,6,0.0
2022,0,45227,Lars Van Meijel,6,0.0
2022,0,47579,Kyle Wilshire,6,0.0
2022,0,27909,Wil Besseling,6,0.0
2022,0,26503,Alfredo Garcia-Heredia,6,0.0
2022,0,33936,Gunner Wiebe,6,0.0
2022,0,47846,Pep Angles,6,0.0
2022,0,51491,Brandon Matthews,6,0.0
2022,0,50323,Minkyu Kim,6,0.0
2022,0,35778,Kazuki Higa,5,0.0
2022,0,45396,Tomoyasu Sugiyama,5,0.0
2022,0,55955,Matthew Jordan,5,0.0
2022,0,58605,Quade Cummins,5,0.0
2022,0,50493,Justin Suh,5,0.0
2022,0,28125,Josh Geary,5,0.0
2022,0,35104,Tom Lewis,5,0.0
2022,0,29772,Michael Lorenzo-Vera,5,0.0
2022,0,48898,David Carey,5,0.0
2022,0,28723,John Parry,5,0.0
2022,0,39201,Nacho Elvira,4,0.0
2022,0,50223,Ewen Ferguson,4,0.0
2022,0,25841,Marc Warren,4,0.0
2022,0,52583,Sanghun Shin,4,0.0
2022,0,33196,Carlos Pigem,4,0.0
2022,0,54190,Richard Mansell,4,0.0
2022,0,46879,Naoyuki Kataoka,3,0.0
2022,0,34500,Ryosuke Kinoshita,3,0.0
2022,0,34126,Scott Vincent,3,0.0
2022,0,46930,Jaekyeong Lee,3,0.0
2022,0,48929,Santiago Tarrio,3,0.0
2022,0,54480,Justin De Los Santos,3,0.0
2022,0,52091,Blake Kennedy,3,0.0
2022,0,49022,Yoseop Seo,3,0.0
2022,0,47842,Hanbyeol Kim,3,0.0
2022,0,27140,Justin Walters,2,0.0
2022,0,58944,Blake McShea,2,0.0
2022,0,58967,Trevor Werbylo,2,0.0
2022,0,46410,Jamie Rutherford,2,0.0
2022,0,52462,Chase Hanna,2,0.0
2022,0,22986,Søren Kjeldsen,2,0.0
2022,0,60004,Jacob Bridgeman,1,0.0
2022,0,23481,Marcel Siem,1,0.0
2021,2,45522,Christiaan Bezuidenhout,282,33.0
2021,2,47679,Victor Perez,240,154.0
2021,2,50493,Justin Suh,206,0.0
2021,2,29454,Bernd Wiesberger,205,17.0
2021,2,46501,Ollie Schniederjans,190,0.0
2021,2,39834,Guido Migliozzi,181,0.0
2021,2,39058,Lucas Herbert,152,23.0
2021,2,33293,Thomas Pieters,152,0.0
2021,2,46414,Aaron Rai,133,86.0
2021,2,40250,Taylor Pendrith,119,0.0
2021,2,46340,Alex Smalley,109,0.0
2021,2,56630,Akshay Bhatia,108,0.0
2021,2,51634,Sahith Theegala,98,0.0
2021,2,46646,Antoine Rozner,98,45.0
2021,2,33653,Thomas Detry,93,33.0
2021,2,36326,David Lipsky,92,10.0
2021,2,51890,Greyson Sigg,84,0.0
2021,2,56272,Wilco Nienaber,76,5.0
2021,2,39067,MJ Daffue,75,0.0
2021,2,54628,Lee Hodges,74,0.0
2021,2,34587,Chan Kim,74,23.0
2021,2,57362,Austin Eckroat,69,0.0
2021,2,47988,Nick Hardy,64,0.0
2021,2,28938,Justin Harding,62,0.0
2021,2,37187,Tain Lee,61,0.0
2021,2,23481,Marcel Siem,58,0.0
2021,2,55182,Tom Kim,56,0.0
2021,2,31569,Jason Scrivener,55,16.0
2021,2,56676,John Augenstein,50,0.0
2021,2,35314,Andy Sullivan,48,14.0
2021,2,52374,Brandon Wu,48,0.0
2021,2,58168,Davis Thompson,46,0.0
2021,2,28114,Dawie van der Walt,42,0.0
2021,2,36799,Stephan Jaeger,41,0.0
2021,2,10381,Curtis Thompson,40,0.0
2021,2,47056,Rikuya Hoshino,38,0.0
2021,2,37378,Min Woo Lee,38,38.0
2021,2,24494,Erik Compton,35,0.0
2021,2,26341,Wade Ormsby,32,17.0
2021,2,23802,Brad Kennedy,31,19.0
2021,2,49773,Chase Koepka,31,0.0
2021,2,35181,Daniel van Tonder,31,3.0
2021,2,29461,Jamie Lovemark,29,0.0
2021,2,47238,Jazz Janewattananond,29,0.0
2021,2,37157,Renato Paratore,28,0.0
2021,2,54783,Dylan Wu,27,0.0
2021,2,26328,Shaun Norris,27,0.0
2021,2,54364,Stephen Stallings Jr.,25,0.0
2021,2,56320,Bryson Nimmer,25,0.0
2021,2,52686,Rasmus Hojgaard,24,4.0
2021,2,37250,Romain Langasque,23,0.0
2021,2,30812,Benjamin Hebert,23,0.0
2021,2,47591,Eric Cole,23,0.0
2021,2,35544,Andrew Yun,23,0.0
2021,2,29939,Fabrizio Zanotti,23,0.0
2021,2,32775,Shugo Imahira,22,0.0
2021,2,34500,Ryosuke Kinoshita,22,14.0
2021,2,23814,Edoardo Molinari,22,0.0
2021,2,47137,Trevor Simsby,21,21.0
2021,2,33974,Dean Burmester,21,0.0
2021,2,45847,JC Ritchie,19,4.0
2021,2,54687,Broc Everett,17,0.0
2021,2,47995,Davis Riley,16,0.0
2021,2,34374,Erik Barnes,16,0.0
2021,2,37212,Paul Barjon,14,0.0
2021,2,30852,Ryo Ishikawa,13,0.0
2021,2,47917,Takumi Kanaya,13,0.0
2021,2,30996,Mark Baldwin,12,0.0
2021,2,47989,Sam Horsfield,12,0.0
2021,2,35225,Brandon Stone,12,12.0
2021,2,56781,Isaiah Salinda,12,0.0
2021,2,45836,Richard Bland,12,0.0
2021,2,54334,Ben Cook,12,0.0
2021,2,46732,Rick Lamb,11,0.0
2021,2,48640,Johannes Veerman,10,0.0
2021,2,59160,John Pak,10,0.0
2021,2,36514,Yuki Inamori,10,10.0
2021,2,47334,Sam Fidone,9,0.0
2021,2,57944,Andy Ogletree,9,0.0
2021,2,47842,Hanbyeol Kim,9,0.0
2021,2,57975,Harry Hall,9,0.0
2021,2,46045,Michael Miller,8,0.0
2021,2,39831,Bobby Bai,8,0.0
2021,2,49310,David Gazzolo,8,0.0
2021,2,45194,Marcus Armitage,7,0.0
2021,2,50722,Jon Thomson,7,0.0
2021,2,50006,Willie Mack III,7,0.0
2021,2,50188,S.H. Kim,6,0.0
2021,2,33605,Gunn Charoenkul,6,0.0
2021,2,52330,Dylan Meyer,6,0.0
2021,2,55789,Taylor Montgomery,6,0.0
2021,2,54314,Tyler Strafaci,6,0.0
2021,2,46439,Will Grimmer,5,0.0
2021,2,34610,Matthias Schwab,5,0.0
2021,2,46930,Jaekyeong Lee,5,0.0
2021,2,31997,Steve Lewton,5,0.0
2021,2,34362,Laurie Canter,5,5.0
2021,2,52666,Sami Valimaki,5,5.0
2021,2,27171,Jay McLuen,4,0.0
2021,2,29425,Andrew Svoboda,4,0.0
2021,2,58693,George Markham,4,0.0
2021,2,48705,Dalton Ward,4,0.0
2021,2,52411,Kyle Westmoreland,4,0.0
2021,2,58381,Kyle Mendoza,4,0.0
2021,2,29936,Ryan Fox,4,0.0
2021,2,34708,Jack Senior,4,0.0
2021,2,57124,Michael Feagles,4,0.0
2021,2,32199,Matthew Borchert,4,0.0
2021,2,34656,Mikumu Horikawa,4,0.0
